Achilles Screening Project ID,Stripped Cell line name,Culture Medium,Culture Type,Arxspan Reg ID,Virus Pool Name
ASP1935,UMRC3,MEM + 10% FBS + 1% NEAA + 2mM Glutamine,Adherent,ACH-001687,ParalogV2
ASP1936,SLR26,RPMI + 10% FBS,Adherent,ACH-000600,ParalogV2
ASP1937,SKRC20,RPMI + 10% FBS + 0.1mM NEAA,Adherent,ACH-000385,ParalogV2
ASP1938,UBLC1,DMEM:RPMI (1:3) + 10% FBS + 2mM Glutamine,Adherent,ACH-000741,ParalogV2
ASP1939,UMUC5,MEM + 10% FBS + Glutamine + NEAA,Adherent,ACH-001411,ParalogV2
ASP1940,647V,DMEM + 15% FBS + 2mM Glutamax,Adherent,ACH-000896,ParalogV2
ASP1941,UMUC13,MEM + 10% FBS + Glutamine + NEAA,Adherent,ACH-001407,ParalogV2
ASP1942,CAL29,DMEM + 10% FBS,Adherent,ACH-000142,ParalogV2
ASP1943,HT29,McCoy's 5A + 10% FBS,Adherent,ACH-000552,ParalogV2
ASP1944,NCIH747,RPMI + 10% FBS,Adherent,ACH-000403,ParalogV2
ASP1945,COLO201,RPMI + 10% FBS,Mixed adherent and suspension,ACH-000253,ParalogV2
ASP1946,CCLFPEDS0001T,RPMI + 10% FBS,Adherent,ACH-001163,ParalogV2
